time,nbMessages
747,1504440
781,1502480
772,1503320
729,1502200
739,1504160
1557,1223600
834,1502200
790,1500800
1278,1228838
0,0
806,1504440
721,1501360
812,1501640
843,1497720
798,1499400
874,1501080
785,1501920
805,1503880
784,1502200
900,1502200
854,1501640
821,1502760
759,1498840
803,1502200
767,1501920
807,1505560
0,0
865,1501360
768,1500240
858,1501640
869,1502200
795,1503040
797,1504720
818,1505280
746,1501920
854,1611240
1702,1003554
833,1607760
874,1605730
0,0
840,1610660
859,1609210
934,1607760
980,1612110
915,1609790
960,1612400
861,1614140
911,1609790
806,1613270
862,1612690
793,1609210
811,1610660
826,1612110
865,1610080
959,1609790
0,0
968,1612690
902,1610370
790,1610660
855,1612400
829,1611530
815,1613850
835,1611240
791,1615010
836,1610080
789,1613850
791,1609790
814,1611530
802,1612110
865,1614720
755,1610080
759,1610370
763,1608050
825,1610370
787,1608920
850,1612400
800,1611820
784,1608340
0,0
811,1613560
805,1610370
805,1611240
839,1611530
849,1608920
0,0
778,1608630
837,1719600
1054,1723200
850,1723200
862,1719900
982,1725900
948,1724400
990,1724400
935,1726200
870,1722600
972,1725000
877,1724700
1041,1723800
940,1721100
1062,1723800
972,1723500
887,1719000
962,1722000
0,0
986,1725600
983,1722300
0,0
876,1727100
880,1722900
952,1726500
934,1725600
0,0
892,1722300
970,1721400
887,1724400
806,1723500
871,1722600
806,1724100
847,1724700
868,1724400
924,1719600
843,1722900
929,1721700
1001,1725600
0,0
916,1726200
973,1719600
946,1723200
999,1722600
879,1720500
976,1725000
878,1725600
897,1726500
884,1722600
893,1727100
872,1720800
875,1723800
