time,round,nbMessages
98,139,60011
151,139,67062
99,139,59017
211,139,78762
136,139,57035
136,139,71440
176,139,61571
180,139,62995
145,139,54694
100,139,58382
169,139,68646
177,139,63417
163,139,74239
112,139,64528
153,139,60857
164,139,58384
174,139,62640
158,139,57396
153,139,60656
183,139,62352
143,139,61726
119,139,61289
155,139,63499
154,139,62137
200,139,58563
114,139,58526
173,139,59733
127,139,64688
172,139,65065
147,139,62070
90,139,55832
120,139,59526
118,139,56676
133,139,59869
141,139,56041
131,139,60575
158,139,63128
153,139,57528
175,139,56822
126,139,60017
217,139,61778
136,139,65509
119,139,58311
138,139,55830
128,139,66086
119,139,65944
120,139,57388
193,139,70155
103,149,64922
149,149,71830
165,149,72784
118,149,73332
162,149,70008
159,149,63794
129,149,67508
110,149,66216
109,149,64468
175,149,69402
132,149,68344
185,149,66368
192,149,85546
134,149,65606
137,149,70768
161,149,67128
125,149,75300
182,149,70624
159,149,70620
148,149,72232
177,149,71752
193,149,66212
128,149,66752
97,149,64170
213,149,66438
139,149,67502
206,149,76252
195,149,75108
231,149,76480
207,149,77612
204,149,65462
223,149,73396
164,149,63718
198,149,67666
223,149,73314
180,149,67136
184,149,66452
122,149,70136
124,149,70464
158,149,68114
135,149,66898
88,149,60834
108,149,74340
164,149,83432
212,149,65236
257,149,74496
224,149,68720
181,149,66446
162,149,68412
150,149,73410
96,149,64094
143,159,89535
154,159,88433
141,159,83495
165,159,79635
167,159,75433
134,159,87368
153,159,87066
133,159,83609
134,159,81359
119,159,75344
123,159,74139
136,159,78582
159,159,90517
136,159,80121
133,159,77940
124,159,76237
132,159,77851
157,159,77928
129,159,75838
149,159,81259
169,159,88909
146,159,82310
125,159,84557
127,159,75514
123,159,76806
166,159,80854
118,159,76968
133,159,77290
160,159,82270
96,159,70575
157,159,76968
140,159,73817
93,159,69052
131,159,88372
118,159,75913
145,159,73977
123,159,85021
129,159,80607
152,159,79724
143,159,78742
91,159,67525
121,159,83374
153,159,77610
166,159,78997
125,159,78021
135,159,78748
122,159,82353
126,159,76721
154,159,76160
150,159,79880
102,159,72361
129,169,82934
202,169,89624
118,169,84810
166,169,94354
176,169,86362
217,169,115170
168,169,87566
148,169,86964
155,169,86014
141,169,91634
183,169,102412
168,169,84472
187,169,110602
117,169,86448
135,169,90830
161,169,88428
174,169,86876
139,169,91562
163,169,89036
147,169,86446
135,169,88678
133,169,86788
161,169,89716
210,169,85242
142,169,80786
138,169,90570
155,169,95064
182,169,91748
192,169,90228
128,169,95870
123,169,84648
117,169,83960
128,169,86448
176,169,107158
155,169,92380
133,169,89352
132,169,87308
148,169,90312
199,169,90232
135,169,97768
140,169,101452
148,169,99684
143,169,104354
114,169,81980
176,169,86528
141,169,101964
157,169,92978
175,169,93238
188,169,89284
139,169,95968
200,169,95210
166,179,100385
144,179,100565
167,179,104296
134,179,97570
146,179,97113
173,179,118235
120,179,92480
147,179,100110
144,179,92935
145,179,100031
160,179,100571
148,179,104391
149,179,98025
149,179,97477
127,179,97564
166,179,105451
178,179,96844
138,179,99297
130,179,94747
117,179,91042
155,179,95291
132,179,97299
190,179,99665
181,179,104484
