time,round,nbMessages
269,229,155360
229,229,158826
240,229,157082
262,229,168212
228,229,159282
234,229,161138
191,229,156500
223,229,162648
255,229,161024
286,229,164622
330,239,199312
243,239,179213
263,239,184654
229,239,171114
268,239,203074
301,239,197850
348,239,185624
270,239,175944
297,239,182238
265,239,168823
232,239,173653
276,239,202939
306,239,199805
343,239,186200
247,239,168573
264,239,198633
261,239,195779
227,239,172328
364,239,169908
349,239,162773
222,239,169781
243,239,172201
287,239,182964
256,239,178487
250,239,176069
272,239,197090
275,239,175829
362,239,190341
236,239,172320
284,239,184269
371,239,193673
294,239,179221
272,239,176434
290,239,179695
298,239,171362
460,239,181393
244,239,158554
251,239,181633
257,239,177523
315,239,186337
411,239,184412
344,239,178179
297,239,219000
235,239,171358
260,239,178243
229,239,165435
280,239,177035
239,239,164701
241,239,171717
223,239,178612
241,239,158661
276,249,194284
246,249,188894
253,249,189526
272,249,235930
308,249,198840
259,249,188512
372,249,185238
305,249,226352
264,249,185992
227,249,199860
333,249,196804
248,249,182212
400,249,209422
340,249,191788
408,249,219658
279,249,189896
230,249,180840
260,249,179576
253,249,184104
327,249,200602
383,249,198140
325,249,184736
280,249,212364
315,249,208954
366,249,209008
236,249,193996
334,249,200602
210,249,173280
305,249,194180
251,249,181342
259,249,190022
254,249,197334
273,249,219538
236,249,183478
294,249,193420
265,249,183218
310,249,199342
223,249,184740
253,249,192738
367,249,204254
278,249,188512
303,249,197200
284,249,193804
236,249,200936
263,249,207122
448,249,264250
225,249,173786
233,249,182722
244,249,185618
263,249,203602
272,249,188476
315,259,202671
332,259,204513
388,259,234328
298,259,205025
339,259,207782
322,259,202939
312,259,210789
436,259,202018
503,259,215638
443,259,210529
375,259,197828
382,259,208828
352,259,222745
356,259,213014
335,259,192858
341,259,207516
412,259,214463
383,259,221092
326,259,216957
337,259,209483
279,259,196389
311,259,211493
323,259,195468
306,259,196909
324,259,205027
391,259,202812
352,259,245915
456,259,225246
326,259,201490
416,259,213413
290,259,207474
396,259,214592
297,259,195863
328,259,220173
286,259,200053
363,259,211444
328,259,205168
336,259,207258
318,259,208008
339,259,208433
419,259,202544
372,259,240953
386,259,218123
316,259,202544
285,259,192334
312,259,206470
376,259,218897
335,259,206994
333,259,210795
420,259,204372
374,259,206861
373,269,212992
317,269,219658
365,269,238452
319,269,214214
316,269,231678
431,269,261452
425,269,227946
423,269,239500
377,269,228492
401,269,231888
516,269,235834
429,269,229854
417,269,211646
408,269,214080
405,269,229562
437,269,230262
380,269,245214
334,269,215284
338,269,234532
433,269,228360
447,269,225770
419,269,240296
436,269,255656
369,269,254662
381,269,228902
294,269,212592
524,269,242428
484,269,245148
391,269,228896
304,269,212718
439,269,214080
413,269,223184
341,269,214896
430,269,263722
343,269,221418
374,269,232816
403,269,228066
387,269,243158
459,269,269888
320,269,221012
469,269,232406
390,269,209188
813,269,229716
742,269,217754
374,269,216114
295,269,209190
428,269,229444
327,269,251184
322,269,222106
377,269,224954
325,269,253542
294,279,213935
339,279,225475
376,279,223932
484,279,263127
355,279,226180
570,279,254008
578,279,272909
503,279,237184
546,279,240983
620,279,256910
596,279,244649
475,279,251552
583,279,279665
437,279,228873
326,279,226470
523,279,238584
429,279,229288
381,279,260094
527,279,244083
338,279,234225
297,279,229141
740,279,245356
629,279,247048
325,279,242530
447,279,286530
410,279,240407
399,279,268864
489,279,250569
341,279,240202
318,279,234358
430,279,252543
315,279,230847
357,279,261347
428,279,231826
400,279,277004
332,279,230138
358,279,236900
485,279,236618
434,279,242953
798,279,268406
350,279,243739
356,279,248942
344,279,232672
433,279,263637
450,279,241966
453,279,251695
611,279,227874
468,279,254219
409,279,242252
650,279,269569
332,279,258011
389,289,255656
340,289,248074
448,289,300328
528,289,253440
407,289,251284
437,289,286306
376,289,247050
319,289,238154
447,289,303264
485,289,261940
475,289,267776
492,289,267486
362,289,252600
357,289,240630
528,289,274490
371,289,264708
468,289,263832
363,289,244864
499,289,269528
439,289,267918
383,289,251132
544,289,276386
332,289,247052
336,289,249970
488,289,275514
366,289,263906
432,289,263104
486,289,271714
327,289,242240
353,289,247342
518,289,263396
423,289,257854
424,289,266900
383,289,256388
397,289,249966
414,289,254638
385,289,260998
315,289,233778
393,289,253762
403,289,256388
581,289,299198
417,289,261644
527,289,301420
457,289,261204
352,289,286060
436,289,263982
359,289,253912
465,289,264826
302,289,247048
455,289,266174
380,289,261734
529,299,288960
569,299,288573
471,299,317915
421,299,299416
526,299,313367
464,299,280419
372,299,271206
516,299,295582
398,299,269400
442,299,289953
451,299,283586
358,299,260644
495,299,286457
392,299,278265
530,299,311341
361,299,262305
420,299,307343
497,299,310012
569,299,297754
424,299,315922
443,299,270155
409,299,268945
447,299,292528
411,299,272571
538,299,285551
329,299,260352
404,299,275438
497,299,287814
552,299,303267
349,299,258989
517,299,303763
527,299,287665
506,299,309567
418,299,273775
388,299,267743
439,299,284744
414,299,264113
433,299,273324
463,299,280417
588,299,267733
726,299,285700
771,299,323137
525,299,263066
697,299,300547
491,299,251600
447,299,277490
422,299,259595
806,299,337887
518,299,276797
425,299,278303
349,299,254461
462,309,349454
484,309,302024
356,309,300234
515,309,305930
361,309,277542
551,309,310450
513,309,311076
461,309,302880
446,309,299222
466,309,295786
798,309,316534
740,309,311076
494,309,304208
468,309,335314
524,309,307956
448,309,300156
442,309,325210
345,309,278336
507,309,336692
366,309,280202
483,309,300308
426,309,327432
918,309,279728
605,309,297816
664,309,288614
463,309,287834
463,309,302964
435,309,286426
518,309,290942
455,309,294850
428,309,300082
541,309,345454
565,309,306394
606,309,378972
381,309,274424
458,309,331416
477,309,348374
436,309,312182
490,309,303896
551,309,347828
488,309,323066
360,309,299602
405,309,286894
377,309,291076
483,309,295008
398,309,278168
422,309,284722
451,309,318240
453,309,326088
485,309,294696
471,309,302808
387,319,297387
392,319,296093
397,319,296101
393,319,293692
499,319,354958
449,319,312336
479,319,317828
449,319,313159
469,319,298995
399,319,316746
524,319,325232
465,319,303654
518,319,348302
351,319,282752
478,319,381476
457,319,307842
517,319,308486
479,319,314930
398,319,301249
466,319,311227
494,319,349182
498,319,307039
615,319,329094
604,319,314608
495,319,311382
507,319,325393
389,319,291921
412,319,296576
604,319,350693
385,319,296103
604,319,313642
466,319,306397
392,319,299160
563,319,315576
394,319,295934
508,319,320887
499,319,328448
448,319,303183
525,319,317502
434,319,309460
507,319,317275
465,319,310418
437,319,302537
577,319,335975
456,319,311390
470,319,310581
380,319,298355
470,319,353628
396,319,299474
447,319,334428
465,319,324840
497,329,350604
558,329,446110
413,329,319896
606,329,354254
593,329,342968
874,329,327862
1315,329,374732
1057,329,332342
1048,329,332324
669,329,315250
947,329,339148
448,329,318738
1304,329,332678
1320,329,384704
1296,329,319232
898,329,379772
463,329,329838
893,329,353922
593,329,338152
430,329,319896
447,329,317078
616,329,337604
404,329,312434
413,329,321394
470,329,326038
519,329,340972
521,329,413354
416,329,314918
444,329,320394
515,329,336492
598,329,341304
545,329,345952
620,329,373400
1080,329,337656
1034,329,336824
1218,329,385386
990,329,330522
1041,329,334836
1166,329,350604
959,329,339734
1041,329,372464
1085,329,341802
898,329,327534
599,329,340974
528,329,329854
619,329,349110
472,329,331846
588,329,353090
497,329,348508
395,329,316418
523,329,338986
583,339,360820
542,339,374020
766,339,343384
619,339,333806
733,339,347492
815,339,357316
1096,339,360991
559,339,352099
939,339,397176
685,339,357107
493,339,342183
539,339,347999
649,339,394786
742,339,358430
928,339,491792
552,339,320653
747,339,348679
738,339,361166
534,339,340129
536,339,365264
471,339,336033
551,339,356374
659,339,338093
750,339,358597
585,339,375305
590,339,374844
437,339,337244
732,339,355869
473,339,347480
443,339,325779
